location_name,cluster,air_quality_PM2.5,temperature_celsius,air_quality_us-epa-index,uv_index,math_danger_score,gnn_bias,final_danger_score,final_category
25.20_44.00,2,35.60612487792969,23.43128204345703,2.8458030223846436,3.0,99.5,32.4118,100.0,EXTREME DANGER
25.20_44.40,2,35.0982551574707,23.5933837890625,2.8156933784484863,3.0,97.5,30.972446,100.0,EXTREME DANGER
25.20_44.80,5,34.71426773071289,23.562007904052734,2.822080373764038,3.0,97.5,29.075665,100.0,EXTREME DANGER
25.20_45.20,5,37.767032623291016,23.510387420654297,3.0875911712646484,3.0,99.5,30.588814,100.0,EXTREME DANGER
25.20_45.60,2,39.14832305908203,23.51354217529297,3.1906933784484863,3.0,99.5,30.588272,100.0,EXTREME DANGER
25.20_46.00,2,40.970787048339844,23.347265243530273,3.3038320541381836,3.0,99.5,32.57702,100.0,EXTREME DANGER
25.20_46.40,5,48.51718521118164,23.518932342529297,3.6824817657470703,3.0,99.5,32.545113,100.0,EXTREME DANGER
25.20_46.80,5,55.75264358520508,23.677156448364258,3.875,3.0,99.5,33.24784,100.0,EXTREME DANGER
25.20_47.20,2,40.43891525268555,23.469160079956055,3.333029270172119,3.0,99.5,31.829195,100.0,EXTREME DANGER
25.20_47.60,2,36.22959899902344,23.502735137939453,3.041058301925659,3.0,99.5,30.540592,100.0,EXTREME DANGER
25.20_48.00,5,57.243831634521484,23.73322105407715,3.9817519187927246,3.0,99.5,33.277397,100.0,EXTREME DANGER
25.20_48.40,5,52.282386779785156,24.08727264404297,3.721715211868286,3.0,99.5,33.101078,100.0,EXTREME DANGER
25.20_48.80,2,45.536373138427734,24.194732666015625,3.3649635314941406,3.0,99.5,32.714603,100.0,EXTREME DANGER
25.20_49.20,2,44.63346862792969,24.385883331298828,3.149635076522827,3.0,99.5,30.886105,100.0,EXTREME DANGER
25.20_49.60,2,40.36494827270508,24.530961990356445,2.7700729370117188,3.0,97.5,34.120613,100.0,EXTREME DANGER
25.20_50.00,2,36.85539627075195,24.527860641479492,2.5711679458618164,3.0,97.5,34.339348,100.0,EXTREME DANGER
25.20_50.40,2,40.07191467285156,24.827287673950195,2.706204414367676,3.0,97.5,29.461372,100.0,EXTREME DANGER
25.20_50.80,2,44.991092681884766,25.540494918823242,3.0875911712646484,3.0,99.5,30.787415,100.0,EXTREME DANGER
25.20_51.20,2,42.79240798950195,26.19933319091797,3.0456204414367676,3.0,99.5,32.289314,100.0,EXTREME DANGER
25.20_51.60,1,36.60346984863281,25.78323745727539,2.5903284549713135,3.0,97.5,27.709198,100.0,EXTREME DANGER
25.20_52.00,1,33.63432693481445,25.700674057006836,2.430656909942627,3.0,97.5,24.948631,100.0,EXTREME DANGER
25.20_52.40,1,36.44367218017578,25.872692108154297,2.543795585632324,3.0,97.5,24.912794,100.0,EXTREME DANGER
25.20_52.80,1,50.451393127441406,26.083280563354492,2.927919626235962,3.0,97.5,29.821005,100.0,EXTREME DANGER
25.20_53.20,1,39.92915725708008,26.225019454956055,2.646897792816162,3.0,97.5,27.611046,100.0,EXTREME DANGER
25.20_53.60,1,33.769287109375,26.37203025817871,2.4352190494537354,3.0,97.5,20.045197,100.0,EXTREME DANGER
25.20_54.00,1,33.24010467529297,26.40562629699707,2.4124088287353516,3.0,80.0,6.0517306,86.05173063278198,EXTREME DANGER
25.20_54.40,1,34.023170471191406,26.406606674194336,2.460766315460205,3.0,80.0,1.401207,81.40120697021484,EXTREME DANGER
25.20_54.80,1,33.17095947265625,26.371339797973633,2.3987226486206055,3.0,80.0,3.1651015,83.16510152816772,EXTREME DANGER
25.20_55.20,1,38.78520584106445,26.027074813842773,2.66149640083313,3.0,58.0,-3.1944757,54.80552434921265,MODERATE RISK
25.20_55.60,2,38.64065170288086,26.050535202026367,2.699817419052124,3.0,97.5,37.690536,100.0,EXTREME DANGER
25.20_56.00,2,36.15736389160156,25.85411262512207,2.7098541259765625,3.0,97.5,37.18702,100.0,EXTREME DANGER
25.20_56.40,1,34.1413459777832,26.11634635925293,2.4479928016662598,3.0,97.5,23.705572,100.0,EXTREME DANGER
25.20_56.80,1,31.395963668823242,26.227371215820312,2.3074817657470703,3.0,80.0,-3.8692985,76.13070154190063,HIGH RISK
25.20_57.20,1,28.990392684936523,26.298961639404297,2.21350359916687,3.0,80.0,-1.0939615,78.90603852272034,HIGH RISK
25.20_57.60,1,27.2998046875,26.261659622192383,2.1541969776153564,3.0,80.0,-6.1028404,73.89715957641602,HIGH RISK
25.20_58.00,1,26.22368812561035,26.063068389892578,2.1149635314941406,3.0,80.0,-4.313939,75.68606090545654,HIGH RISK
25.20_58.40,1,25.133495330810547,25.967243194580078,2.0647809505462646,3.0,58.0,-10.453515,47.54648494720459,MODERATE RISK
25.20_58.80,1,24.266826629638672,25.790910720825195,2.041970729827881,3.0,58.0,-13.568157,44.43184280395508,MODERATE RISK
25.20_59.20,1,23.375320434570312,25.77738380432129,2.0036497116088867,3.0,58.0,-15.820495,42.179505348205566,MODERATE RISK
25.20_59.60,1,22.91675567626953,25.593143463134766,1.9726277589797974,3.0,58.0,-18.308868,39.691131591796875,LOW RISK
25.20_60.00,1,22.540891647338867,25.665451049804688,1.9580291509628296,3.0,58.0,-14.391361,43.608638763427734,MODERATE RISK
25.20_60.40,1,20.62001609802246,25.50963592529297,1.8868613243103027,3.0,80.0,-6.2435126,73.75648736953735,HIGH RISK
25.20_60.80,1,20.174043655395508,25.238037109375,1.8795620203018188,3.0,80.0,-11.854757,68.14524269104004,HIGH RISK
25.20_61.20,1,22.804086685180664,25.034900665283203,2.0875911712646484,3.0,97.5,12.434368,100.0,EXTREME DANGER
25.20_61.60,1,22.657255172729492,25.28350067138672,2.1012773513793945,3.0,97.5,15.202669,100.0,EXTREME DANGER
25.20_62.00,1,22.235342025756836,25.667835235595703,2.0930657386779785,3.0,97.5,23.321827,100.0,EXTREME DANGER
25.20_62.40,1,23.64537811279297,25.072601318359375,2.1560218334198,3.0,97.5,17.518906,100.0,EXTREME DANGER
25.20_62.80,1,21.729412078857422,24.924541473388672,2.013686180114746,3.0,97.5,15.039339,100.0,EXTREME DANGER
25.20_63.20,1,22.90005874633789,24.99860954284668,2.080291986465454,3.0,97.5,17.75156,100.0,EXTREME DANGER
25.20_63.60,1,23.72969627380371,25.09615707397461,2.1094889640808105,3.0,97.5,24.638916,100.0,EXTREME DANGER
25.20_64.00,1,23.037097930908203,25.182125091552734,2.0656933784484863,3.0,97.5,22.794144,100.0,EXTREME DANGER
25.60_44.00,2,33.5216064453125,23.503366470336914,2.6952555179595947,3.0,97.5,31.377943,100.0,EXTREME DANGER
25.60_44.40,5,34.02191925048828,23.534685134887695,2.75,3.0,97.5,32.28356,100.0,EXTREME DANGER
25.60_44.80,4,35.44249725341797,23.496170043945312,2.896897792816162,3.0,97.5,31.071432,100.0,EXTREME DANGER
25.60_45.20,5,38.4310417175293,23.36713981628418,3.1432480812072754,3.0,99.5,31.51706,100.0,EXTREME DANGER
25.60_45.60,5,38.58384704589844,23.44343376159668,3.155109405517578,3.0,99.5,33.634342,100.0,EXTREME DANGER
25.60_46.00,2,40.07106018066406,23.514631271362305,3.305656909942627,3.0,99.5,31.4682,100.0,EXTREME DANGER
25.60_46.40,5,46.06585693359375,23.455427169799805,3.6012773513793945,3.0,99.5,32.452255,100.0,EXTREME DANGER
25.60_46.80,2,45.07807922363281,23.313840866088867,3.6122262477874756,3.0,99.5,31.511776,100.0,EXTREME DANGER
25.60_47.20,2,41.01093673706055,23.374099731445312,3.4379560947418213,3.0,99.5,31.472235,100.0,EXTREME DANGER
25.60_47.60,2,39.42753219604492,23.60587501525879,3.347627639770508,3.0,99.5,32.569893,100.0,EXTREME DANGER
25.60_48.00,5,50.07622528076172,23.783899307250977,3.783759117126465,3.0,99.5,32.78438,100.0,EXTREME DANGER
25.60_48.40,5,48.930809020996094,23.992265701293945,3.6350364685058594,3.0,99.5,32.600327,100.0,EXTREME DANGER
25.60_48.80,2,46.10348129272461,24.125940322875977,3.416970729827881,3.0,99.5,32.172638,100.0,EXTREME DANGER
25.60_49.20,2,46.75421905517578,24.354736328125,3.271897792816162,3.0,99.5,32.344856,100.0,EXTREME DANGER
25.60_49.60,2,44.12712478637695,24.725927352905273,2.9981751441955566,3.0,99.5,32.852516,100.0,EXTREME DANGER
25.60_50.00,2,39.404502868652344,24.782276153564453,2.6742701530456543,3.0,97.5,32.676582,100.0,EXTREME DANGER
25.60_50.40,1,38.723480224609375,24.874591827392578,2.6094889640808105,3.0,97.5,31.401474,100.0,EXTREME DANGER
25.60_50.80,1,40.199729919433594,25.752521514892578,2.7572991847991943,3.0,97.5,31.306293,100.0,EXTREME DANGER
25.60_51.20,1,35.741024017333984,26.113239288330078,2.589416027069092,3.0,97.5,32.73694,100.0,EXTREME DANGER
25.60_51.60,1,33.15937423706055,25.538454055786133,2.400547504425049,3.0,97.5,26.846588,100.0,EXTREME DANGER
25.60_52.00,1,35.67194366455078,25.706531524658203,2.5264599323272705,3.0,97.5,25.006857,100.0,EXTREME DANGER
25.60_52.40,1,39.0152702331543,25.870044708251953,2.666970729827881,3.0,97.5,23.566025,100.0,EXTREME DANGER
25.60_52.80,1,37.44890594482422,26.092138290405273,2.5985400676727295,3.0,97.5,23.138279,100.0,EXTREME DANGER
25.60_53.20,1,34.802581787109375,26.193601608276367,2.458941698074341,3.0,80.0,7.82432,87.82431983947754,EXTREME DANGER
25.60_53.60,1,33.88010025024414,26.33742904663086,2.4096715450286865,3.0,80.0,0.64166224,80.64166224002838,EXTREME DANGER
